,Timestamp,Arbitration_ID,Ext_Identifier,Data_Length_Code,Payload
0,1660219186.51137,1907,False,8,b'\x02\x10\x01\x00\x00\x00\x00\x00'
1,1660219186.51148,2013,False,8,b'\x06P\x01\x002\x01\xf4\xaa'
2,1660219186.511226,1907,False,8,b'\x02>\x00\x00\x00\x00\x00\x00'
3,1660219186.511759,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
4,1660219186.514518,1123,False,8,b'\x00\x80=\x00\x00\x00\x00\x00'
5,1660219186.518776,2013,False,8,b'\x02~\x00\xaa\xaa\xaa\xaa\xaa'
6,1660219186.531469,452984848,True,8,b'\x10@\x04\x01\x00\x08\x00\x00'
7,1660219186.545537,960,False,4,b'\r\x0f\x07\x00'
8,1660219186.545538,389230864,True,8,b'\x80\x08Lj\x00\x00\x00\x00'
9,1660219186.56217,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
10,1660219186.564561,1124,False,8,b'\x08\x00\x00\x00\x00\x00\x00\x00'
11,1660219186.564561,380196017,True,8,b'\x00\x00\x00\x00\x00\x00\x00\xfe'
12,1660219186.574865,389230864,True,5,b'\xc0\x00\x00\x02\x00'
13,1660219186.584571,1156,False,8,b'\xfe\xfb\xef\xbf\xff\xfe\xfb?'
14,1660219186.586487,389233664,True,2,b'\x1f\x02'
15,1660219186.592082,1635,False,8,b'`\x00\x00\x0f\x00\x00\x00\x00'
16,1660219186.594571,1157,False,8,b'\x00\xc2\xef\xff\x00\x00\x00\x00'
17,1660219186.594572,389230865,True,8,b'\x80 Lv\x0890.'
18,1660219186.604596,1158,False,8,b'\xfe\xff\xff\xf7\xff\xff\xffA'
19,1660219186.604596,389230865,True,8,b'\xc00 MHzC\x00'
20,1660219186.612219,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
21,1660219186.61475,1122,False,8,b'\x00\x008\x00\x00\x01\x00\x00'
22,1660219186.614751,316495022,True,8,b'\x00\x00\x00\x00\x00\x00\x00\x7f'
23,1660219186.614751,389230865,True,8,b'\xc1\x00\x00\x00\x00\x00\x00\x00'
24,1660219186.624619,380195864,True,8,b'\x0e\xf8\x0f\xfb\xef\xff\x11='
25,1660219186.62462,389230865,True,8,b'\xc2\x00\x00\x00\x00\x00\x00\x00'
26,1660219186.635079,389230865,True,8,b'\xc3\x00\x00\x00\x01\x00\x00\x00'
27,1660219186.63508,389219328,True,2,b'\x11\x02'
28,1660219186.64571,960,False,4,b'L\x00\x07\x00'
29,1660219186.645711,1716,False,8,b'\x026031714'
30,1660219186.649258,389218560,True,4,b'@\x00\x01P'
31,1660219186.655011,389230864,True,8,b'\x80\x08Lj\x00\x00\x00\x00'
32,1660219186.655012,389236480,True,2,b'\x10\x02'
33,1660219186.661925,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
34,1660219186.664621,1123,False,8,b'\x00\x80=\x00\x00\x00\x00\x00'
35,1660219186.673596,452984947,True,8,b's@\x04\t\x00\x08\x00\x00'
36,1660219186.68504,389230864,True,5,b'\xc0\x00\x00\x00\x00'
37,1660219186.692121,1635,False,8,b'`\x00\x00\x0f\x00\x00\x00\x00'
38,1660219186.711809,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
39,1660219186.71465,1124,False,8,b'\x08\x00\x00\x00\x00\x00\x00\x00'
40,1660219186.732581,452984848,True,8,b'\x10@\x04\x01\x00\x08\x00\x00'
41,1660219186.745821,960,False,4,b'\xf9\x01\x07\x00'
42,1660219186.762284,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
43,1660219186.764727,1122,False,8,b'\x00\x008\x00\x00\x01\x00\x00'
44,1660219186.764728,1125,False,8,b'\x00\x00\x00\x00\x00\x00\x00\x80'
45,1660219186.764728,316495022,True,8,b'\x00\x00\x00\x00\x00\x00\x00\x7f'
46,1660219186.764729,380196017,True,8,b'\x00\x00\x00\x00\x00\x00\x00\xfe'
47,1660219186.784661,1156,False,8,b'\xfe\xfb\xef\xbf\xff\xfe\xfb?'
48,1660219186.784663,389223168,True,2,b'\x14\xc2'
49,1660219186.786803,389222912,True,2,b'\x14\x82'
50,1660219186.792159,1635,False,8,b'`\x00\x00\x0f\x00\x00\x00\x00'
51,1660219186.794568,1157,False,8,b'\x00\xc2\xef\xff\x00\x00\x00\x00'
52,1660219186.804664,1158,False,8,b'\xfe\xff\xff\xf7\xff\xff\xffA'
53,1660219186.81215,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
54,1660219186.81457,1123,False,8,b'\x00\x80=\x00\x00\x00\x00\x00'
55,1660219186.814571,389222144,True,2,b'\x13\xc2'
56,1660219186.816195,389227008,True,2,b'\x18\x82'
57,1660219186.816197,389222400,True,2,b'\x14\x02'
58,1660219186.817583,389226752,True,2,b'\x18B'
59,1660219186.824623,380195864,True,8,b'\x0e\xf8\x0f\xfb\xef\xff\xd9M'
60,1660219186.826899,389226240,True,2,b'\x17\xc2'
61,1660219186.846007,960,False,4,b'\t\x02\x07\x00'
62,1660219186.846009,1716,False,8,b'\x00\xc9k|\x8cBAU'
63,1660219186.850886,1016,False,8,b'\x00\x00\x00\x02\x00\x00\x00\x00'
64,1660219186.861817,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
65,1660219186.863033,1720,False,8,b'%\x08\xfc\x01\x00\x92\x00\x00'
66,1660219186.864655,1124,False,8,b'\x08\x00\x00\x00\x00\x00\x00\x00'
67,1660219186.864656,401604723,True,8,b' s\x00\x00\x00\xff\x01\x80'
68,1660219186.864657,441799848,True,8,b'\x05\x00\xff\xbf\x00\x00\x00\x00'
69,1660219186.873606,452984947,True,8,b's@\x04\t\x00\x08\x00\x00'
70,1660219186.873609,1153,False,8,"b'\x00\x00\x00""\x00\x00\xe0\xfe'"
71,1660219186.890892,1635,False,8,b'`\x00\x00\x0f\x00\x00\x00\x00'
72,1660219186.911837,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
73,1660219186.914639,1122,False,8,b'\x00\x008\x00\x00\x01\x00\x00'
74,1660219186.91464,316495022,True,8,b'\x00\x00\x00\x00\x00\x00\x00\x7f'
75,1660219186.926042,401604624,True,8,b' \x10\x00\x00\x00\x00\x85\x80'
76,1660219186.926044,389231120,True,8,b'<\x82\x03\x002\x00\x04\x08'
77,1660219186.927281,389228560,True,8,b'\x90\n:=\x00\x00\x00\x00'
78,1660219186.931561,452984848,True,8,b'\x10@\x04\x01\x00\x08\x00\x00'
79,1660219186.937187,389228816,True,8,b'\x80\x08:P\x00\x00}\xff'
80,1660219186.946097,960,False,4,b'\xbc\x03\x07\x00'
81,1660219186.956998,389228560,True,7,b'\xd0\x00\x00\x00\xff\x00\x00'
82,1660219186.962185,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
83,1660219186.964675,1123,False,8,b'\x00\x80=\x00\x00\x00\x00\x00'
84,1660219186.964676,380196017,True,8,b'\x00\x00\x00\x00\x00\x00\x00\xfe'
85,1660219186.966071,1413,False,8,"b'\x02,\x00t\x00\x08\x00\x00'"
86,1660219186.967765,389228816,True,5,b'\xc0\xff\xff@\x00'
87,1660219186.971066,1718,False,6,b'!\x13\x18\x01*\t'
88,1660219186.971067,1719,False,8,b'\x00\x00\xb0\x1b\x08\xff\xc0\xfe'
89,1660219186.984568,1156,False,8,b'\xfe\xfb\xef\xbf\xff\xfe\xfb?'
90,1660219186.990943,1635,False,8,b'`\x00\x00\x0f\x00\x00\x00\x00'
91,1660219186.994528,1157,False,8,b'\x00\xc2\xef\xff\x00\x00\x00\x00'
92,1660219187.004745,1158,False,8,b'\xfe\xff\xff\xf7\xff\xff\xffA'
93,1660219187.0066,389218560,True,4,b'@\x00\x01P'
94,1660219187.007975,389218560,True,4,b'@\x00\x01P'
95,1660219187.011804,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
96,1660219187.014598,1124,False,8,b'\x08\x00\x00\x00\x00\x00\x00\x00'
97,1660219187.016227,389220864,True,2,b'\x12\x82'
98,1660219187.016228,389221120,True,2,b'\x12\xc2'
99,1660219187.01909,389218560,True,4,b'@\x00\x01P'
100,1660219187.021016,389218560,True,4,b'@\x00\x01P'
101,1660219187.024654,380195864,True,8,b'\x0e\xf8\x0f\xfb\xef\xff\xa1^'
102,1660219187.024655,389221632,True,2,b'\x13B'
103,1660219187.027583,389221376,True,2,b'\x13\x02'
104,1660219187.046351,960,False,4,b'\xc6\x04\x07\x00'
105,1660219187.046353,1716,False,8,b'\x01NEE4MZ1'
106,1660219187.061872,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
107,1660219187.064723,1122,False,8,b'\x00\x008\x00\x00\x01\x00\x00'
108,1660219187.064724,316495022,True,8,b'\x00\x00\x00\x00\x00\x00\x00\x7f'
109,1660219187.073602,452984947,True,8,b's@\x04\t\x00\x08\x00\x00'
110,1660219187.081756,389232912,True,8,b'>S\x00\x00\x00\x00\x00\x00'
111,1660219187.090917,1635,False,8,b'`\x00\x00\x0f\x00\x00\x00\x00'
112,1660219187.096375,389218560,True,4,b'@\x00\x01P'
113,1660219187.097899,389218560,True,4,b'@\x00\x01P'
114,1660219187.106016,389224704,True,2,b'\x16B'
115,1660219187.106018,389224960,True,2,b'\x16\x82'
116,1660219187.111617,389227280,True,3,b'8\xcf\x00'
117,1660219187.111618,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
118,1660219187.114725,1123,False,8,b'\x00\x80=\x00\x00\x00\x00\x00'
119,1660219187.116755,389231632,True,3,b'=\x0e\x01'
120,1660219187.131536,452984848,True,8,b'\x10@\x04\x01\x00\x08\x00\x00'
121,1660219187.146367,960,False,4,b's\x05\x07\x00'
122,1660219187.16222,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
123,1660219187.164722,1124,False,8,b'\x08\x00\x00\x00\x00\x00\x00\x00'
124,1660219187.164723,380196017,True,8,b'\x00\x00\x00\x00\x00\x00\x00\xfe'
125,1660219187.18461,1156,False,8,b'\xfe\xfb\xef\xbf\xff\xfe\xfb?'
126,1660219187.190912,1635,False,8,b'`\x00\x00\x0f\x00\x00\x00\x00'
127,1660219187.194821,1157,False,8,b'\x00\xc1\xef\xff\x00\x00\x00\x00'
128,1660219187.204651,1158,False,8,b'\xfe\xff\xff\xf7\xff\xff\xffA'
129,1660219187.211847,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
130,1660219187.214643,1122,False,8,b'\x00\x008\x00\x00\x01\x00\x00'
131,1660219187.214645,1125,False,8,b'\x00\x00\x00\x00\x00\x00\x00\x80'
132,1660219187.214646,316495022,True,8,b'\x00\x00\x00\x00\x00\x00\x00\x7f'
133,1660219187.224663,380195864,True,8,b'\x0e\xf8\x0f\xfb\xef\xffi\x1f'
134,1660219187.246474,960,False,4,b'\x83\x06\x07\x00'
135,1660219187.246476,1716,False,8,b'\x00\xc9k|\x8cBAU'
136,1660219187.255378,389236480,True,2,b'\x10\x02'
137,1660219187.262154,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
138,1660219187.264627,1123,False,8,b'\x00\x80=\x00\x00\x00\x00\x00'
139,1660219187.273911,452984947,True,8,b's@\x04\t\x00\x08\x00\x00'
140,1660219187.289798,1635,False,8,b'`\x00\x00\x0f\x00\x00\x00\x00'
141,1660219187.31189,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
142,1660219187.314602,1124,False,8,b'\x08\x00\x00\x00\x00\x00\x00\x00'
143,1660219187.331557,452984848,True,8,b'\x10@\x04\x01\x00\x08\x00\x00'
144,1660219187.346595,960,False,4,b'6\x07\x07\x00'
145,1660219187.349699,879,False,8,b'\xf8\xff\xff\xbf\xff\xff\xff\x07'
146,1660219187.3497,884,False,8,b'\xf8\xef\xff\xfe\xfd\xf7\xdf\x7f'
147,1660219187.349701,886,False,8,b'\xf8\xf7\xef\xdf\xbf\xef\xfb\xfb'
148,1660219187.349703,888,False,8,b'\xf8\xff\xff\xff\xfe\x0f\x00\x00'
149,1660219187.349704,891,False,8,b'\x00\x00\x00\x00\x00\x00\x00\x00'
150,1660219187.350909,1016,False,8,b'\x00\x00\x00\x02\x00\x00\x00\x00'
151,1660219187.350911,1364,False,8,b'\x00\xff\xff\x1f\x00\x00\x00\x00'
152,1660219187.362576,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
153,1660219187.364748,1122,False,8,b'\x00\x008\x00\x00\x01\x00\x00'
154,1660219187.364749,1140,False,8,b'\x00\x18\xee\xde\x00\x00\x00\x00'
155,1660219187.36475,316495022,True,8,b'\x00\x00\x00\x00\x00\x00\x00\x7f'
156,1660219187.364751,380196007,True,8,b'\x00\x00\x00\x00\x00\x00\x00\x00'
157,1660219187.365971,380196017,True,8,b'\x00\x00\x00\x00\x00\x00\x00\xfe'
158,1660219187.365973,401604723,True,8,b' s\x00\x00\x00\xff\x01\x80'
159,1660219187.365975,441799848,True,8,b'dce\x01;Pn\x03'
160,1660219187.365976,441799974,True,8,b'\x00\x00\x00\x00\x00\x00\x00\xff'
161,1660219187.367283,441799975,True,8,b'\x00\x00\x00\x00\x00\x00\x00\xff'
162,1660219187.374658,1153,False,8,"b'\x00\x00\x00""\x00\x00\xe0\xfe'"
163,1660219187.384687,1156,False,8,b'\xfe\xfb\xef\xbf\xff\xfe\xfb?'
164,1660219187.390069,1635,False,8,b'`\x00\x00\x0f\x00\x00\x00\x00'
165,1660219187.394635,1157,False,8,b'\x00\xc1\xef\xff\x00\x00\x00\x00'
