,Timestamp,Arbitration_ID,Ext_Identifier,Data_Length_Code,Payload
0,1660219216.161935,380196017,True,8,b'\x00\x00\x00\x00\x00\x00\x00\xfe'
1,1660219216.163644,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
2,1660219216.167147,389220608,True,2,b'\x12B'
3,1660219216.181637,1156,False,8,b'\xfe\xfb\xef\xbf\xff\xfe\xfb?'
4,1660219216.181639,960,False,4,b'6\x07\x07\x00'
5,1660219216.191573,1157,False,8,b'\x00\xc0\xef\xff\x00\x00\x00\x00'
6,1660219216.201578,1158,False,8,b'\xfe\xff\xff\xf7\xff\xff\xffA'
7,1660219216.206717,1635,False,8,b'`\x00\x00\x0f\x00\x00\x00\x00'
8,1660219216.211529,1123,False,8,b'\x00\x80=\x00\x00\x00\x00\x00'
9,1660219216.213903,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
10,1660219216.220537,1907,False,8,b'\x02\x10\x03\x00\x00\x00\x00\x00'
11,1660219216.221577,380195864,True,8,b'\x0e\xf8\x0f\xfb\xef\xff\xad\x10'
12,1660219216.226212,2013,False,8,b'\x06P\x03\x002\x01\xf4\xaa'
13,1660219216.227078,1907,False,8,b'\x02>\x00\x00\x00\x00\x00\x00'
14,1660219216.22898,389218560,True,4,b'@\x00\x01P'
15,1660219216.236263,2013,False,8,b'\x02~\x00\xaa\xaa\xaa\xaa\xaa'
16,1660219216.237864,389219584,True,2,b'\x11B'
17,1660219216.237864,389219328,True,2,b'\x11\x02'
18,1660219216.261608,1124,False,8,b'\x08\x00\x00\x00\x00\x00\x00\x00'
19,1660219216.264112,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
20,1660219216.266644,879,False,8,b'\xf8\xff\xff\xbf\xff\xff\xff\x07'
21,1660219216.266645,884,False,8,b'\xf8\xef\xff\xfe\xfd\xf7\xdf\x7f'
22,1660219216.266646,886,False,8,b'\xf8\xf7\xef\xdf\xbf\xef\xfb\xfb'
23,1660219216.266646,888,False,8,b'\xf8\xff\xff\xff\xfe\x0f\x00\x00'
24,1660219216.266647,891,False,8,b'\x00\x00\x00\x00\x00\x00\x00\x00'
25,1660219216.26789,1016,False,8,b'\x00\x00\x00\x02\x00\x00\x00\x00'
26,1660219216.267891,389235968,True,2,b'\x10\x02'
27,1660219216.267892,1364,False,8,b'\x00\xff\xff\x1f\x00\x00\x00\x00'
28,1660219216.270945,452984947,True,8,b's@\x04\x0b\x00\x08\x00\x00'
29,1660219216.282133,960,False,4,b'w\x08\x07\x00'
30,1660219216.282134,1716,False,8,b'\x026031714'
31,1660219216.287288,389224192,True,2,b'\x15\xc2'
32,1660219216.306753,1635,False,8,b'`\x00\x00\x0f\x00\x00\x00\x00'
33,1660219216.311623,1122,False,8,b'\x00\x008\x00\x00\x01\x00\x00'
34,1660219216.311625,316495022,True,8,b'\x00\x00\x00\x00\x00\x00\x00\x7f'
35,1660219216.313887,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
36,1660219216.322321,1714,False,8,b'\x00\x00\x000\x11\x1cT\x13'
37,1660219216.33236,452984848,True,8,b'\x10@\x04\x01\x00\x08\x00\x00'
38,1660219216.34188,401604624,True,8,b' \x10\x00\x00\x00\x00\x85\x80'
39,1660219216.361941,1123,False,8,b'\x00\x80=\x00\x00\x00\x00\x00'
40,1660219216.361943,1140,False,8,b'\x00\x18\xee\xde\x00\x00\x00\x00'
41,1660219216.361944,380196007,True,8,b'\x00\x00\x00\x00\x00\x00\x00\x00'
42,1660219216.361944,380196017,True,8,b'\x00\x00\x00\x00\x00\x00\x00\xfe'
43,1660219216.36283,401604723,True,8,b' s\x00\x00\x00\xff\x01\x80'
