ID,index,Bitflips_CAN0,Bitflips_CAN1,Bitflips_CAN2,Bitflips_CAN3,Bitflips_CAN4,Bitflips_CAN5
469533184.0,0,400,2924,1914,492,7254,1886
469533185.0,1,360,330,730,9680,1414,433
469533186.0,2,680,417,338,779,445,479
469533187.0,3,680,580,2388,1416,2179,693
469533188.0,4,578,435,642,503,340,657
469533189.0,5,520,199,561,556,388,548
469533198.0,6,886,454,1903,690,2557,2289
469533199.0,7,480,616,2027,621,2522,2314
469533203.0,8,3000,200,2016,500,2342,3337
469533210.0,9,360,4801,279,448,741,3105
469533211.0,10,280,451,562,516,2852,2424
469533212.0,11,40,1586,340,2865,4950,279
469533213.0,12,560,1329,3755,594,3148,466
469533214.0,13,480,280,413,887,490,1527
469533215.0,14,140,684,703,3137,720,406
469533217.0,15,0,438,331,2964,1265,5585
469533218.0,16,960,1822,270,3278,406,522
469533219.0,17,440,0,4915,312,116,1583
469533220.0,18,766,0,510,281,824,629
469533221.0,19,18328,0,1765,838,141,1236
469533222.0,20,23293,0,668,2407,5025,511
469533223.0,21,566,0,1207,2300,646,981
469533224.0,22,400,0,456,1898,1655,896
469533225.0,23,475,0,500,4321,289,1447
469533226.0,24,283,0,74,318,646,304
469533229.0,25,0,0,81,554,1238,343
469533232.0,26,500,0,692,645,391,759
469533233.0,27,700,0,57,504,640,1959
469533234.0,28,1100,0,697,312,400,0
469533235.0,29,2202,0,207,5405,306,0
469533236.0,30,1200,0,317,616,4858,0
469533237.0,31,0,0,1640,1682,2419,0
469533238.0,32,1460,0,368,377,39,0
469533239.0,33,3200,0,120,602,201,0
469533240.0,34,2300,0,470,891,883,0
469533241.0,35,2500,0,1413,236,1338,0
469533242.0,36,5804,0,814,1625,1205,0
469533243.0,37,1200,0,837,2352,53,0
469533244.0,38,4300,0,1987,291,24,0
469533245.0,39,5100,0,2770,356,50,0
469533246.0,40,900,0,0,1053,723,0
469533248.0,41,9700,0,0,1344,675,0
469533249.0,42,7600,0,0,568,207,0
469533250.0,43,3600,0,0,70,321,0
469533252.0,44,14342,0,0,70,297,0
469533253.0,45,10000,0,0,25,40,0
469533254.0,46,10400,0,0,64,559,0
469533255.0,47,10400,0,0,55,64,0
469533256.0,48,14541,0,0,34,84,0
469533257.0,49,2300,0,0,78,368,0
469533258.0,50,6600,0,0,80,388,0
469533260.0,51,7400,0,0,74,360,0
469533261.0,52,6000,0,0,65,431,0
469533262.0,53,4800,0,0,972,413,0
469533265.0,54,1200,0,0,46,256,0
469533266.0,55,1000,0,0,820,109,0
469533286.0,56,8414,0,0,219,223,0
469533287.0,57,17202,0,0,320,562,0
469533296.0,58,3000,0,0,330,2760,0
469533297.0,59,0,0,0,91,868,0
469533298.0,60,500,0,0,56,674,0
469533299.0,61,1400,0,0,87,514,0
469533300.0,62,1400,0,0,63,953,0
469533301.0,63,1400,0,0,348,429,0
469533302.0,64,1400,0,0,550,796,0
469533303.0,65,1100,0,0,113,1367,0
469533304.0,66,0,0,0,51,1423,0
469533305.0,67,0,0,0,424,0,0
